length_m,width_m,height_m,wall_thickness_m,roof_thickness_m,orientation,primary_material,insulation_thickness_m,pcm_thickness_m,occupant_count,equipment_load_w,air_changes_per_hour,region,season,hour,ambient_temp_c,solar_irradiance_peak_w_m2,wind_speed_m_s,envelope_r_wall,envelope_r_roof,room_volume_m3,predicted_indoor_temp_c,actual_indoor_temp_c,surrogate_error_c
3.386286807281596,2.590260101105824,2.7432591277454694,0.34188076125370515,0.2932645077734553,south,rammed-earth,0.11827405634860258,0.051124848083657026,8,174.27986431190234,0.9944503663523359,ladakh,winter,12,-18.2,213.125,14.5,5.1911196758321205,4.191498732127599,11.592783661764283,-0.99646306,-0.4041,-0.5923630603790283
3.409427044482152,2.5295151075572457,2.644245347783282,0.3813380815942936,0.23461812714411237,north,rammed-earth,0.13663051776151836,0.015401945044561141,8,160.32731064436285,0.8310354222962253,ladakh,winter,12,-18.2,213.125,14.5,5.655361618840469,4.4562875601710665,10.33306213928481,-1.0260977,0.0025,-1.0285976552963256
3.077156684407303,2.527452796253707,2.685191359848748,0.3508364662857101,0.28363265333214877,west,insulated-composite,0.13492479172424005,0.017032207393950036,8,177.04171791261334,0.561776696092025,ladakh,winter,12,-18.2,213.125,14.5,8.10036106027281,4.460025968208289,9.548403163578723,-1.0976125,2.387,-3.484612500190735
3.1835859841678413,2.632122210757179,2.4537280186624817,0.19976268571480862,0.26922858631165547,north,insulated-composite,0.1088190533714585,0.05694665569091161,8,182.77818454198882,0.8190923510788171,ladakh,winter,12,-18.2,213.125,14.5,5.896776839966329,3.9219447034184456,12.33502320433333,-1.1341407,0.6697,-1.8038407299041748
3.340842887701026,2.5110785232843984,2.3630739805403422,0.26018811232443984,0.2806101109519398,south,rammed-earth,0.12871964648016138,0.04784830771927876,8,169.4895745044437,0.35308198721255624,ladakh,winter,12,-18.2,213.125,14.5,5.183243741287906,4.474684166877602,10.569487714311263,-1.147551,1.0365,-2.184050940513611
3.4745347464178833,2.5068376805485055,2.6081570059446393,0.2370930666138708,0.3366493490201993,north,rammed-earth,0.12895667471406788,0.038893434672490894,8,158.24766053976794,0.503779142940562,ladakh,winter,12,-18.2,213.125,14.5,5.045190055061955,4.473112448867329,12.633427621662834,-1.155291,-0.0168,-1.138490961265564
3.282084545827237,2.5420291900430647,2.659364508555548,0.409289152918217,0.2117290793729968,north,insulated-composite,0.1363106977643044,0.010300564502209567,8,179.78165959576347,1.0788470617544414,ladakh,winter,12,-18.2,213.125,14.5,8.746954889640508,4.39177861624183,9.542857683007792,-1.1643991,0.967,-2.1313991470336915
3.1355302169555648,2.545166141703282,2.6984622747529166,0.3615582219801451,0.15726891761193348,south,insulated-composite,0.0956152993188956,0.04034562668925759,8,159.7318005085356,0.7081948004346035,ladakh,winter,12,-18.2,213.125,14.5,7.183717734846025,3.3093759005724324,10.290803865451231,-1.1770813,1.1826,-2.3596813465118407
3.2547271905722885,2.670074698700409,2.9231099270109198,0.17806191321022288,0.29967830042563426,north,insulated-composite,0.09956307033400773,0.043836791793380264,8,188.23727633204481,0.6887213078123491,ladakh,winter,12,-18.2,213.125,14.5,5.287773718352518,3.5817428345854667,16.254503088862176,-1.182852,-0.2111,-0.971752029800415
3.308942883767308,2.558686974718615,2.8187631080640014,0.3922695963073495,0.2524727999815909,south,insulated-composite,0.09621992819409335,0.021572536246601198,8,148.96765471394573,1.1418586780844167,ladakh,winter,12,-18.2,213.125,14.5,7.4181233782133456,3.289093035387677,10.597822079079856,-1.1997125,-0.174,-1.0257125148773194
